학교코드,학교명,지역,동,위도,경도,score_2nd
S010000629,고명외식고등학교,성북구,돈암1동,37.59732,127.02019,9.76
S010000572,대일외국어고등학교,성북구,정릉4동,37.61330387,127.0141757,2.41
S010000605,동구마케팅고등학교,성북구,성북동,37.59313220000001,127.0067429,2.19
S010000563,홍익대학교사범대학부속고등학교,성북구,성북동,37.594336,127.003863,5.19
S000003561,서울대학교사범대학부설고등학교,성북구,종암동,37.59472375,127.0381187,3.61
S010000590,서울도시과학기술고등학교,성북구,월곡1동,37.60781127,127.0330426,3.8
S010000464,석관고등학교,성북구,석관동,37.60958821,127.0667165,5.9
S010000471,성신여자고등학교,성북구,동선동,37.5942881,127.0224064,6.02
S010000510,용문고등학교,성북구,안암동,37.5879326,127.0251981,2.47
S010000370,가락고등학교,송파구,송파2동,37.501637,127.116943,6.88
S010000612,일신여자상업고등학교,송파구,송파2동,37.50197244,127.11452659999998,3.88
S010000524,잠실여자고등학교,송파구,송파2동,37.50232329999999,127.11309740000002,3.88
S010005498,문정고등학교,송파구,문정1동,37.48517967,127.1266941,3.83
S010005524,문현고등학교,송파구,장지동,37.481244,127.128992,6.33
S010005182,방산고등학교,송파구,방이1동,37.50839970000001,127.120472,9.94
S010000441,배명고등학교,송파구,삼전동,37.4988176,127.0957019,3.51
S010000446,보성고등학교,송파구,오륜동,37.5194034,127.135273,2.49
S010000461,서울체육고등학교,송파구,오륜동,37.5217588,127.1305913,2.49
S010000539,창덕여자고등학교,송파구,오륜동,37.5162418,127.1402751,2.49
S010000640,보인고등학교,송파구,오금동,37.496983,127.138291,3.43
S010000507,오금고등학교,송파구,오금동,37.504251,127.129331,3.43
S010000593,송파공업고등학교,송파구,거여1동,37.491476,127.142528,9.45
S010000496,영동일고등학교,송파구,잠실3동,37.5100019,127.0898685,6.45
S010000504,영파여자고등학교,송파구,풍납2동,37.5321334,127.11982179999998,2.79
S010000522,잠신고등학교,송파구,잠실2동,37.51470635,127.0882634,6.24
S010005566,잠일고등학교,송파구,잠실2동,37.51443,127.082425,3.24
S010000523,잠실고등학교,송파구,잠실4동,37.51963111,127.1079429,5.74
S010000528,정신여자고등학교,송파구,잠실7동,37.508824,127.071909,3.24
S010000372,강서고등학교,양천구,목4동,37.5367773,126.8663295,4.0
S010000396,광영고등학교,양천구,신월3동,37.53719702,126.8232754,8.67
S010000397,광영여자고등학교,양천구,신월3동,37.53774,126.82489,2.67
S010000642,서울금융고등학교,양천구,신월3동,37.537615,126.825664,8.67
S010000401,금옥여자고등학교,양천구,신정3동,37.510928,126.844582,3.14
S010000635,대일관광고등학교,양천구,신정3동,37.61395633,127.0129255,3.14
S010000445,백암고등학교,양천구,신정3동,37.51192800000001,126.8448662,6.14
S010000489,양천고등학교,양천구,신정3동,37.508667,126.84573600000002,3.14
S010000490,목동고등학교,양천구,신정7동,37.50921453,126.8601996,3.75
S010000500,서울영상고등학교,양천구,신정4동,37.52330273,126.8602955,3.7
S010005285,신서고등학교,양천구,신정4동,37.5238435,126.857988,3.7
S010000485,신목고등학교,양천구,신정6동,37.512763,126.873615,6.86
S010000488,양정고등학교,양천구,목5동,37.5348671,126.88697759999998,3.87
S010000549,한가람고등학교,양천구,목5동,37.5374633,126.8840071,3.87
S010000537,진명여자고등학교,양천구,목1동,37.524048,126.8658553,6.74
S010000390,관악고등학교,영등포구,양평1동,37.52179202,126.8829228,5.76
S010000410,대영고등학교,영등포구,신길5동,37.5031524,126.9037896,2.85
S010005261,선유고등학교,영등포구,양평2동,37.5339205,126.8948722,5.29
S010000550,한강미디어고등학교,영등포구,양평2동,37.53929199,126.8972608,2.29
S010000492,여의도고등학교,영등포구,여의동,37.52505011,126.9342187,5.07
S010000493,여의도여자고등학교,영등포구,여의동,37.52288819,126.9350894,2.07
S010000498,영등포여자고등학교,영등포구,영등포본동,37.51539016,126.9153554,2.98
S010000526,장훈고등학교,영등포구,영등포본동,37.5133437,126.91623090000002,5.98
S010000501,영신고등학교,영등포구,신길6동,37.49810112,126.9097387,6.12
S010000442,배문고등학교,용산구,청파동,37.550311,126.964274,8.73
S010000658,선린인터넷고등학교,용산구,청파동,37.54297557,126.9664882,2.73
S010000483,신광여자고등학교,용산구,청파동,37.54290069,126.9694483,2.73
S010000447,보성여자고등학교,용산구,용산2가동,37.54308019,126.9842851,2.06
S010000511,용산고등학교,용산구,용산2가동,37.54586549,126.98032849999998,8.06
S010000589,서울디지텍고등학교,용산구,이태원2동,37.53896870000001,126.99061770000002,2.33
