학교명,학급수,학생수,학급당평균학생수,교원수,자치구,전입학생수,전출학생수,주거환경,경제환경,사회환경,교육환경,청소년유동인구,한부모_가구수,한부모_가구원수,저소득,중간,고소득
화곡고등학교,30.0,838.0,27.933333333333334,63.0,강서구,12.0,9.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
화곡보건경영고등학교,24.0,486.0,20.25,51.0,강서구,13.0,20.0,6.37,5.13,6.11,5.64,24738.508164121697,"2,198","5,166",20.1,62.7,17.2
강일고등학교,27.0,524.0,19.40740740740741,56.0,강동구,12.0,8.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
둔촌고등학교,33.0,733.0,22.21212121212121,73.0,강동구,20.0,15.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
명일여자고등학교,30.0,542.0,18.066666666666663,64.0,강동구,10.0,10.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
선사고등학교,27.0,590.0,21.85185185185185,65.0,강동구,18.0,15.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
강동고등학교,24.0,614.0,25.58333333333333,56.0,강동구,11.0,8.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
광문고등학교,39.0,1068.0,27.384615384615383,82.0,강동구,18.0,14.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
동북고등학교,43.0,1120.0,26.046511627906977,93.0,강동구,36.0,32.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
배재고등학교,39.0,1307.0,33.51282051282051,82.0,강동구,28.0,40.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
상일미디어고등학교,32.0,814.0,25.4375,72.0,강동구,5.0,9.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
상일여자고등학교,36.0,587.0,16.305555555555557,75.0,강동구,4.0,12.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
서울컨벤션고등학교,30.0,757.0,25.23333333333333,66.0,강동구,15.0,11.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
성덕고등학교,24.0,704.0,29.33333333333333,57.0,강동구,10.0,4.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
한영고등학교,42.0,1234.0,29.38095238095238,89.0,강동구,29.0,11.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
한영외국어고등학교,30.0,662.0,22.066666666666663,64.0,강동구,0.0,0.0,6.57,5.74,6.23,5.97,25204.45269189159,"1,260","2,988",27.6,52.6,19.8
경기기계공업고등학교,54.0,1174.0,21.74074074074074,146.0,노원구,14.0,19.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
노원고등학교,27.0,588.0,21.77777777777778,62.0,노원구,18.0,15.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
불암고등학교,36.0,902.0,25.05555555555556,76.0,노원구,27.0,12.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
상계고등학교,34.0,860.0,25.294117647058822,78.0,노원구,19.0,9.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
수락고등학교,28.0,608.0,21.714285714285715,63.0,노원구,4.0,5.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
월계고등학교,30.0,596.0,19.866666666666667,66.0,노원구,24.0,11.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
광운전자공업고등학교,30.0,710.0,23.666666666666668,77.0,노원구,21.0,26.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
대진고등학교,39.0,1099.0,28.17948717948718,84.0,노원구,12.0,22.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
대진여자고등학교,39.0,1049.0,26.897435897435894,86.0,노원구,11.0,16.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
동산정보산업고등학교,44.0,992.0,22.545454545454547,102.0,노원구,,,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
미래산업과학고등학교,24.0,591.0,24.625,65.0,노원구,1.0,17.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
상명고등학교,33.0,896.0,27.151515151515152,72.0,노원구,19.0,14.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
서라벌고등학교,43.0,1221.0,28.3953488372093,87.0,노원구,15.0,11.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
서울아이티고등학교,30.0,718.0,23.933333333333334,75.0,노원구,18.0,32.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
염광고등학교,30.0,782.0,26.066666666666663,63.0,노원구,15.0,12.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
염광여자메디텍고등학교,23.0,508.0,22.08695652173913,56.0,노원구,7.0,6.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
영신간호비즈니스고등학교,27.0,597.0,22.11111111111111,64.0,노원구,9.0,15.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
영신여자고등학교,39.0,880.0,22.56410256410257,90.0,노원구,14.0,22.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
용화여자고등학교,39.0,916.0,23.487179487179485,83.0,노원구,11.0,32.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
인덕공업고등학교,30.0,708.0,23.6,77.0,노원구,,,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
재현고등학교,36.0,1022.0,28.38888888888889,79.0,노원구,17.0,22.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
청원고등학교,45.0,1296.0,28.8,95.0,노원구,34.0,18.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
청원여자고등학교,39.0,1064.0,27.28205128205128,87.0,노원구,25.0,11.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
한국삼육고등학교,18.0,494.0,27.444444444444443,42.0,노원구,8.0,6.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
