학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
대영고등학교,27.0,697.0,25.814814814814813,67.0,영등포구,445,17.0,9.0,영등포구,6.38,5.5,6.14,5.98
선유고등학교,27.0,591.0,21.88888888888889,68.0,영등포구,445,20.0,17.0,영등포구,6.38,5.5,6.14,5.98
여의도고등학교,33.0,790.0,23.939393939393938,75.0,영등포구,445,27.0,24.0,영등포구,6.38,5.5,6.14,5.98
여의도여자고등학교,28.0,685.0,24.464285714285715,68.0,영등포구,445,23.0,9.0,영등포구,6.38,5.5,6.14,5.98
영등포여자고등학교,27.0,510.0,18.88888888888889,64.0,영등포구,445,11.0,12.0,영등포구,6.38,5.5,6.14,5.98
영신고등학교,30.0,642.0,21.4,71.0,영등포구,445,30.0,9.0,영등포구,6.38,5.5,6.14,5.98
한강미디어고등학교,24.0,605.0,25.208333333333332,68.0,영등포구,445,1.0,9.0,영등포구,6.38,5.5,6.14,5.98
장훈고등학교,34.0,933.0,27.441176470588236,57.0,영등포구,445,26.0,70.0,영등포구,6.38,5.5,6.14,5.98
광남고등학교,43.0,1132.0,26.325581395348838,101.0,광진구,405,33.0,23.0,광진구,6.03,5.09,5.94,5.7
광양고등학교,27.0,540.0,20.0,56.0,광진구,405,13.0,11.0,광진구,6.03,5.09,5.94,5.7
자양고등학교,36.0,834.0,23.166666666666668,79.0,광진구,405,18.0,10.0,광진구,6.03,5.09,5.94,5.7
건국대학교사범대학부속고등학교,36.0,1074.0,29.833333333333332,79.0,광진구,405,32.0,16.0,광진구,6.03,5.09,5.94,5.7
대원고등학교,30.0,814.0,27.133333333333333,61.0,광진구,405,7.0,6.0,광진구,6.03,5.09,5.94,5.7
대원여자고등학교,28.0,709.0,25.321428571428573,59.0,광진구,405,18.0,26.0,광진구,6.03,5.09,5.94,5.7
대원외국어고등학교,30.0,775.0,25.833333333333332,58.0,광진구,405,4.0,4.0,광진구,6.03,5.09,5.94,5.7
동국대학교사범대학부속여자고등학교,30.0,671.0,22.366666666666667,67.0,광진구,405,9.0,7.0,광진구,6.03,5.09,5.94,5.7
선화예술고등학교,27.0,1092.0,40.44444444444444,46.0,광진구,405,13.0,6.0,광진구,6.03,5.09,5.94,5.7
구암고등학교,26.0,633.0,24.346153846153847,57.0,관악구,431,23.0,11.0,관악구,6.16,5.24,5.81,5.63
