자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.59246063,127.0959549,3
중랑구,방범,37.61572266,127.078949,4
중랑구,방범,37.58460236,127.0839767,2
중랑구,방범,37.61095873,127.0750611,4
중랑구,방범,37.58246582,127.0842745,3
중랑구,방범,37.61341095,127.0795441,2
중랑구,방범,37.61830139,127.0833359,4
중랑구,방범,37.61436459,127.0817458,2
중랑구,방범,37.61070609,127.0786169,4
중랑구,방범,37.6065729,127.0919046,5
중랑구,방범,37.60982924,127.0762921,4
중랑구,방범,37.61345266,127.0728426,4
중랑구,방범,37.58965683,127.0871353,2
중랑구,방범,37.59060287,127.0877151,3
중랑구,방범,37.59026958,127.1023266,4
중랑구,방범,37.59150219,127.0841732,3
중랑구,방범,37.59616089,127.0782928,4
중랑구,방범,37.59528783,127.0766841,2
중랑구,방범,37.60801242,127.0769604,1
중랑구,방범,37.59203339,127.0857239,5
중랑구,방범,37.59173493,127.0982426,4
중랑구,방범,37.59712042,127.1030482,2
중랑구,방범,37.58182606,127.0783485,2
중랑구,방범,37.58433533,127.0912323,4
중랑구,방범,37.59048462,127.0891113,3
중랑구,방범,37.58972168,127.1009903,3
중랑구,방범,37.59444046,127.0810623,3
중랑구,방범,37.59318193,127.1016675,2
중랑구,방범,37.59048298,127.0777836,4
중랑구,방범,37.59836786,127.0829846,2
중랑구,방범,37.60565186,127.0745468,4
중랑구,방범,37.59565701,127.0950355,4
중랑구,방범,37.59227371,127.0815125,3
중랑구,방범,37.60636171,127.0755002,1
중랑구,방범,37.60526938,127.0734721,3
중랑구,방범,37.57769012,127.0863953,2
중랑구,방범,37.61782455,127.1011887,2
중랑구,방범,37.58010022,127.0794737,3
중랑구,방범,37.5940782,127.0817626,4
중랑구,방범,37.60048953,127.1059314,3
중랑구,방범,37.60017395,127.0763092,3
중랑구,방범,37.59153366,127.0925064,2
중랑구,방범,37.5793664,127.0837758,2
중랑구,방범,37.60259876,127.0973476,3
중랑구,방범,37.61058807,127.0728683,2
중랑구,방범,37.57584766,127.0853015,2
중랑구,방범,37.59455835,127.0867817,3
중랑구,방범,37.58906937,127.0991898,2
중랑구,방범,37.59316547,127.0830602,1
중랑구,방범,37.60100937,127.0789642,2
중랑구,방범,37.58893585,127.0873108,3
중랑구,방범,37.59086199,127.0754111,1
중랑구,방범,37.60258678,127.0783315,2
중랑구,방범,37.59868138,127.0850845,5
중랑구,방범,37.5998447,127.0828757,2
중랑구,방범,37.5928457,127.0897413,3
중랑구,방범,37.59768295,127.0728378,3
중랑구,방범,37.59126005,127.1023055,5
중랑구,방범,37.59080124,127.0994339,2
중랑구,방범,37.57154846,127.0822678,3
중랑구,방범,37.59111023,127.0939636,1
중랑구,방범,37.57120895,127.085228,3
중랑구,방범,37.5796198,127.0899003,4
