구,학교명,학교코드,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),위도,경도,법정동코드,500미터내_파출소개수,500미터내_CCTV개수
중랑구,중화고등학교,S010000536,1,1,1,1243.1,37.604896,127.083203,1126010300,0,68
중랑구,태릉고등학교,S010000547,1,1,1,88.8,37.61916257,127.0855595,1126010400,0,49
중랑구,혜원여자고등학교,S010000561,1,1,1,453.7,37.59328087,127.0970432,1126010500,2,100
노원구,경기기계공업고등학교,S010000579,1,1,1,102.0,37.63224131,127.0749298,1135010400,0,90
노원구,광운전자공업고등학교,S010000580,1,0,1,100.0,37.6192413,127.0565444,1135010200,0,95
노원구,노원고등학교,S010000404,1,0,1,88.8,37.6628057,127.0532928,1135010500,0,29
노원구,대진고등학교,S010000414,1,1,1,281.8,37.63780505,127.076091,1135010400,0,41
노원구,대진여자고등학교,S010000415,1,1,0,240.0,37.64612473,127.0671978,1135010600,1,41
노원구,미래산업과학고등학교,S010000587,1,1,1,100.0,37.6587784,127.0784425,1135010600,1,51
노원구,불암고등학교,S010005263,1,0,1,400.0,37.64915826,127.0803044,1135010600,1,57
노원구,상계고등학교,S010000449,1,1,1,103.0,37.65272604,127.0554547,1135010500,2,15
노원구,상명고등학교,S010000451,1,1,1,897.0,37.64954799,127.068044,1135010600,1,50
노원구,서라벌고등학교,S010000454,1,0,1,171.0,37.6452418,127.0758368,1135010600,0,36
노원구,서울동산고등학교,S010000651,1,1,0,540.0,37.6302021,127.07506,1135010300,0,122
노원구,서울아이티고등학교,S010000599,1,1,1,543.3,37.64241889,127.0624493,1135010600,0,40
노원구,수락고등학교,S010000478,1,1,1,201.9,37.6,127.0,1135010500,1,25
노원구,염광고등학교,S010000494,1,1,1,165.0,37.628422,127.049528,1135010200,1,50
노원구,염광여자메디텍고등학교,S010000649,0,0,0,185.7,37.629901,127.048562,1135010200,1,38
노원구,영신간호비즈니스고등학교,S010000619,0,1,0,980.0,37.6524538,127.0832769,1135010600,1,42
노원구,영신여자고등학교,S010000502,0,1,1,176.6,37.6524538,127.0832769,1135010600,1,42
노원구,용화여자고등학교,S010000512,1,0,1,123.1,37.65913246,127.0582791,1135010500,0,35
노원구,월계고등학교,S010005262,1,1,1,111.2,37.63173247,127.0487142,1135010200,0,34
노원구,인덕과학기술고등학교,S010000600,1,1,1,200.0,37.631885,127.055742,1135010200,1,66
노원구,재현고등학교,S010000527,1,1,1,291.6,37.660141,127.079847,1135010600,0,38
노원구,청원고등학교,S010000544,1,0,1,660.0,37.666697,127.063081,1135010500,1,39
노원구,청원여자고등학교,S010000545,1,0,1,672.3,37.666141,127.061236,1135010500,1,35
노원구,한국삼육고등학교,S010000552,1,0,1,500.0,37.64335827,127.1088514,1135010300,0,8
노원구,혜성여자고등학교,S010000560,1,1,1,124.4,37.640785,127.073503,1135010400,1,60
도봉구,누원고등학교,S010005181,1,1,1,478.2,37.68556743,127.049933,1132010800,1,17
도봉구,도봉고등학교,S010005206,1,0,1,240.0,37.686756,127.0425782,1132010800,1,60
도봉구,서울문화고등학교,S010000637,1,1,1,227.6,37.66413242,127.0472847,1132010600,0,44
도봉구,서울외국어고등학교,S010000574,1,0,0,360.0,37.64577944,127.0515108,1132010700,1,22
도봉구,선덕고등학교,S010000465,1,1,0,970.6,37.65507873,127.0261507,1132010500,1,44
