,학교명,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),500미터내_파출소개수,500미터내_CCTV개수,cluster,학교코드,score_1st
120,석관고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.36146395283153326,-0.8513610451481637,0.03354539875882227,2,S010000464,0.6
121,성신여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.45731692826977205,-0.8513610451481637,-0.20308747424930235,2,S010000471,0.6
122,용문고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.574514080056873,-0.8513610451481637,-0.8054256964518014,4,S010000510,0.4
123,한성여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,2.4297712107187497,0.5602220348902424,-0.09552707742742751,0,S010000556,1
124,홍익대학교사범대학부속고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,-0.8513610451481637,-0.4612324266218019,2,S010000563,0.6
125,가락고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5974900741694096,-0.8513610451481637,-0.6978652996299265,2,S010000370,0.6
126,문정고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.9801948548914392,0.5602220348902424,-0.6333290615368017,0,S010005498,1
127,문현고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.0143107249373267,0.5602220348902424,-0.9560102520024262,0,S010005524,1
128,방산고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.31899317583563225,-0.8513610451481637,-0.4612324266218019,2,S010005182,0.6
129,배명고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.1535591741042155,0.5602220348902424,-0.5042565853505518,0,S010000441,1
130,보성고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9351675633991146,-0.8513610451481637,-0.9775223313668011,2,S010000446,0.6
131,보인고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.45731692826977205,-0.8513610451481637,-0.6548411409011766,2,S010000640,0.6
132,서울체육고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.905925389074068,-0.8513610451481637,-0.4612324266218019,2,S010000461,0.6
133,송파공업고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.16698391175680927,-0.8513610451481637,-0.6333290615368017,2,S010000593,0.6
134,영동일고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.4782041956448054,-0.8513610451481637,-0.8484498551805513,4,S010000496,0.4
135,영파여자고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.8498014199386588,0.5602220348902424,0.11959371621632213,4,S010000504,0.4
136,오금고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9786827037637673,1.9718051149286486,-0.8484498551805513,0,S010000507,1
137,일신여자상업고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,2.0586740936889916,-0.8513610451481637,-0.439720347257427,4,S010000612,0.4
138,잠신고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.06486475610606045,-0.8513610451481637,-1.2141552043749257,2,S010000522,0.6
139,잠실고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,3.4163464730661564,-0.8513610451481637,-1.042058569459926,2,S010000523,0.6
140,잠실여자고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.1856627857583363,-0.8513610451481637,-0.3106478710711772,4,S010000524,0.4
141,잠일고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9351675633991146,0.5602220348902424,-1.020546490095551,0,S010005566,1
142,정신여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.3085495421481156,-0.8513610451481637,-1.1711310456461759,2,S010000528,0.6
143,창덕여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9424781069803764,-0.8513610451481637,-1.1926431250105507,2,S010000539,0.6
144,강서고등학교,-2.5045413298101655,-1.7764695763913763,0.548464226846274,0.6118827068450184,0.5602220348902424,0.9585648114269457,3,S010000372,0.2
145,광영고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.5497974803297503,-0.8513610451481637,-0.7193773789943015,2,S010000396,0.6
146,광영여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,2.302358879731047,-0.8513610451481637,-0.37518410916430206,2,S010000397,0.6
147,금옥여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.8209838350822659,-0.8513610451481637,-0.5042565853505518,2,S010000401,0.6
148,대일관광고등학교,-2.5045413298101655,-1.7764695763913763,-1.8232729703268034,0.16976888074014687,0.5602220348902424,-0.2245995536136773,3,S010000635,0.2
149,목동고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,-0.12300098363323642,0.5602220348902424,-0.6978652996299265,4,S010000490,0.4
150,백암고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.9217105062413457,-0.8513610451481637,-0.5257686647149268,2,S010000445,0.6
151,서울금융고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.6779060535632878,-0.8513610451481637,-0.09552707742742751,2,S010000642,0.6
152,서울영상고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.21386059671463137,1.9718051149286486,0.205642033673822,0,S010000500,1
153,신목고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.21420871783754847,-0.8513610451481637,-0.7408894583586765,2,S010000485,0.6
154,신서고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.7778168158405304,0.5602220348902424,0.7004198590544461,0,S010005285,1
155,양정고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,0.12381689251507366,-0.8513610451481637,-0.8914740139093013,4,S010000488,0.4
156,양천고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.4596341094941898,-0.8513610451481637,-0.2245995536136773,2,S010000489,0.6
157,진명여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-1.004791787982559,0.5602220348902424,-0.6118169821724266,0,S010000537,1
158,한가람고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,0.28325636681116123,-0.8513610451481637,-0.9344981726380511,2,S010000549,0.6
159,관악고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.38769270368632774,-0.8513610451481637,0.9585648114269457,2,S010000390,0.6
160,대영고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,-0.8513610451481637,7.197067827095685,1,S010000410,0.8
161,선유고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5578042661568463,-0.8513610451481637,1.1736856050706954,2,S010005261,0.6
162,여의도고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.8631064909552497,-0.8513610451481637,-0.7408894583586765,2,S010000492,0.6
163,여의도여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5870464404818929,-0.8513610451481637,-0.6978652996299265,2,S010000493,0.6
164,영등포여자고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.7883801161640499,0.5602220348902424,3.561526414516316,1,S010000498,0.8
165,영신고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.277566762208483,0.5602220348902424,3.023724430406942,1,S010000501,0.8
166,장훈고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.8390861334739614,0.5602220348902424,4.0993283986256905,1,S010000526,0.8
167,한강미디어고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.4129858790232821,-0.8513610451481637,0.3992507479531967,2,S010000550,0.6
168,배문고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.38769270368632774,-0.8513610451481637,1.1306614463419455,4,S010000442,0.4
169,보성여자고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.1807890900374953,-0.8513610451481637,-0.05250291869867759,4,S010000447,0.4
170,서울디지텍고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.7576257907113315,-0.8513610451481637,0.16261787494507207,2,S010000589,0.6
171,선린인터넷고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.6086299501027607,1.9718051149286486,0.03354539875882227,4,S010000658,0.4
172,성심여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.17882002993599472,-0.8513610451481637,0.205642033673822,2,S010000472,0.6
173,신광여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.2062019320104525,1.9718051149286486,-0.2891357917068022,0,S010000483,1
174,오산고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.4596341094941898,0.5602220348902424,-0.030990839334302623,0,S010000509,1
175,용산고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,1.9437941231263085,0.5602220348902424,-0.20308747424930235,4,S010000511,0.4
176,용산철도고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,1.8498014199386588,1.9718051149286486,-0.8054256964518014,0,S010000597,1
177,중경고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.8488335249156436,0.5602220348902424,-0.8269377758161763,0,S010000530,1
178,대성고등학교,-2.5045413298101655,-1.7764695763913763,-1.8232729703268034,0.06289569600455987,-0.8513610451481637,-0.8269377758161763,3,S010000408,0.2
179,동명생활경영고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,1.478356181785983,-0.8513610451481637,0.1411057955806971,2,S010000638,0.6
180,동명여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.2210946719501563,1.9718051149286486,-0.09552707742742751,0,S010000422,1
181,선일여자고등학교,-2.5045413298101655,-1.7764695763913763,0.548464226846274,0.38107840235090057,0.5602220348902424,0.18412995430944704,3,S010000466,0.2
182,선일이비즈니스고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,0.030520431573258212,0.5602220348902424,-0.05250291869867759,0,S010000608,1
183,선정고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.17974472666874358,0.5602220348902424,-0.2891357917068022,0,S010000467,1
184,선정국제관광고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.9769420981491812,-0.8513610451481637,-0.3106478710711772,3,S010000616,0.2
185,세명컴퓨터고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,2.000189745038899,-0.8513610451481637,-0.2676237123424272,2,S010000659,0.6
186,숭실고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,0.9794986126456046,0.5602220348902424,-0.6548411409011766,0,S010000481,1
187,신도고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.5362207565359786,-0.8513610451481637,-0.439720347257427,2,S010005530,0.6
188,신진과학기술고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.9076659946886542,0.5602220348902424,0.22715411303819696,4,S010000595,0.4
189,예일디자인고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.15189503683536587,0.5602220348902424,0.24866619240257193,3,S010000620,0.2
190,예일여자고등학교,-2.5045413298101655,-1.7764695763913763,0.548464226846274,-0.9024441778448958,1.9718051149286486,0.1411057955806971,3,S010000506,0.2
191,은평고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.030052643814338278,-0.8513610451481637,-0.5472807440793018,2,S010005583,0.6
192,은평메디텍고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.09422659706710981,0.5602220348902424,-0.8484498551805513,0,S010000515,1
193,진관고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.09967686839778261,0.5602220348902424,-0.999034410731176,4,S010005525,0.4
194,충암고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.8054380511869937,-0.8513610451481637,0.24866619240257193,2,S010000546,0.6
195,하나고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,-0.9003554511073925,-0.8513610451481637,-0.8914740139093013,4,S010005616,0.4
196,경기상업고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.0926379775937016,0.5602220348902424,-0.8914740139093013,0,S010000603,1
197,경복고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.9446865003538824,1.9718051149286486,-1.042058569459926,0,S010000379,1
198,경신고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,0.016595586656569346,1.9718051149286486,-0.16006331552055242,4,S010000382,0.4
199,대동세무고등학교,0.3992747047523451,-1.7764695763913763,0.548464226846274,-0.9842526417304429,-0.8513610451481637,-0.9344981726380511,4,S010000634,0.4
